timestamp,hour,day_of_week,is_weekend,day_of_year,temperature_c,pv_kw,pv_clear_sky_kw,cloud_factor,load_kw,residual_load_kw,price_cny_per_kwh,emission_factor_kg_per_kwh,forecast_pv_kw_h15min,forecast_pv_kw_h60min,forecast_pv_kw_h240min,forecast_pv_kw_h1440min,forecast_load_kw_h15min,forecast_load_kw_h60min,forecast_load_kw_h240min,forecast_load_kw_h1440min,forecast_price_cny_per_kwh_h15min,forecast_price_cny_per_kwh_h60min,forecast_price_cny_per_kwh_h240min,forecast_price_cny_per_kwh_h1440min
2024-01-01 00:00:00,0.0,0,0,1,2.79,0.0,0.0,0.997,36.25,36.25,0.1282,0.5736,0.0,0.0,0.0,0.0,33.017,24.776,36.324,36.49,0.119,0.222,0.057,0.098
2024-01-01 00:15:00,0.25,0,0,1,2.81,0.0,0.0,1.0,32.62,32.62,0.1371,0.5578,0.0,0.0,0.0,0.0,34.389,23.906,33.494,42.72,0.138,0.132,0.034,0.036
2024-01-01 00:30:00,0.5,0,0,1,1.71,0.0,0.0,1.0,34.18,34.18,0.1348,0.5646,0.0,0.0,0.0,0.0,27.595,22.388,33.518,33.637,0.185,0.152,-0.008,0.119
2024-01-01 00:45:00,0.75,0,0,1,2.13,0.0,0.0,1.0,27.75,27.75,0.1808,0.5366,0.0,0.0,0.0,0.0,24.126,32.844,29.762,41.583,0.161,0.106,0.025,0.065
2024-01-01 01:00:00,1.0,0,0,1,2.63,0.0,0.0,1.0,24.33,24.33,0.1591,0.5217,0.0,0.0,0.0,0.0,25.594,33.121,39.874,31.013,0.188,0.134,0.094,0.246
2024-01-01 01:15:00,1.25,0,0,1,0.73,0.0,0.0,1.0,25.3,25.3,0.1821,0.526,0.0,0.0,0.0,0.0,24.643,26.129,54.256,28.765,0.172,0.058,0.301,0.097
2024-01-01 01:30:00,1.5,0,0,1,-0.49,0.0,0.0,0.978,25.2,25.2,0.1577,0.5255,0.0,0.0,0.0,0.0,31.465,34.287,33.071,37.403,0.171,0.059,0.158,0.271
2024-01-01 01:45:00,1.75,0,0,1,-0.46,0.0,0.0,0.956,31.01,31.01,0.1632,0.5508,0.0,0.0,0.0,0.0,30.613,29.698,31.859,38.677,0.11,0.089,0.246,0.253
2024-01-01 02:00:00,2.0,0,0,1,-0.83,0.0,0.0,0.974,29.87,29.87,0.107,0.5458,0.0,0.0,0.0,0.0,32.497,32.242,43.367,38.402,0.048,0.086,0.308,-0.002
2024-01-01 02:15:00,2.25,0,0,1,-0.94,0.0,0.0,1.0,32.34,32.34,0.0473,0.5566,0.0,0.0,2.451,0.0,35.52,29.878,49.378,63.16,0.062,0.08,0.165,0.035
2024-01-01 02:30:00,2.5,0,0,1,-1.73,0.0,0.0,1.0,34.3,34.3,0.0586,0.5651,0.0,0.0,11.93,0.0,34.574,32.369,43.866,54.555,0.108,0.08,0.155,0.229
2024-01-01 02:45:00,2.75,0,0,1,-1.09,0.0,0.0,1.0,34.31,34.31,0.1097,0.5652,0.0,0.0,9.216,0.0,32.912,27.05,49.811,27.487,0.133,0.028,0.171,0.184
2024-01-01 03:00:00,3.0,0,0,1,-0.61,0.0,0.0,1.0,33.58,33.58,0.1207,0.562,0.0,0.0,11.295,0.0,32.764,33.53,55.319,45.999,0.105,0.072,0.26,0.175
2024-01-01 03:15:00,3.25,0,0,1,-0.77,0.0,0.0,1.0,33.02,33.02,0.1064,0.5596,0.0,0.0,19.72,0.0,34.232,27.573,57.698,62.598,0.085,0.087,0.261,0.242
2024-01-01 03:30:00,3.5,0,0,1,-0.09,0.0,0.0,1.0,35.23,35.23,0.0847,0.5692,0.0,0.0,17.608,0.0,29.511,39.134,55.695,59.199,0.026,-0.009,0.434,0.214
2024-01-01 03:45:00,3.75,0,0,1,-0.02,0.0,0.0,1.0,29.7,29.7,0.0269,0.5451,0.0,0.0,13.196,0.0,35.226,40.068,63.365,50.107,0.075,0.025,0.257,0.138
2024-01-01 04:00:00,4.0,0,0,1,-1.03,0.0,0.0,1.0,35.04,35.04,0.0776,0.5684,0.0,0.0,44.578,0.0,34.472,44.998,65.22,60.444,0.066,0.073,0.512,0.068
2024-01-01 04:15:00,4.25,0,0,1,-0.98,0.0,0.0,1.0,34.87,34.87,0.0664,0.5676,0.0,0.0,34.515,0.0,38.22,40.002,75.398,54.62,-0.012,0.167,0.621,0.029
2024-01-01 04:30:00,4.5,0,0,1,-2.0,0.0,0.0,1.0,37.71,37.71,-0.0121,0.58,0.0,0.0,58.95,0.0,39.119,42.632,78.837,42.154,0.025,0.313,0.734,0.185
2024-01-01 04:45:00,4.75,0,0,1,-1.46,0.0,0.0,0.984,39.68,39.68,0.0239,0.5886,0.0,0.0,55.931,0.0,46.447,34.005,71.157,26.64,0.088,0.185,0.446,0.055
2024-01-01 05:00:00,5.0,0,0,1,-1.73,0.0,0.0,1.0,43.95,43.95,0.084,0.6072,0.0,0.0,50.69,0.0,43.696,45.984,74.998,31.925,0.204,0.252,0.453,0.128
2024-01-01 05:15:00,5.25,0,0,1,-2.09,0.0,0.0,1.0,42.81,42.81,0.1962,0.6022,0.0,2.675,96.902,0.0,42.968,55.895,60.128,35.236,0.245,0.239,1.076,0.177
2024-01-01 05:30:00,5.5,0,0,1,-2.81,0.0,0.0,0.925,43.39,43.39,0.2303,0.6048,0.0,8.882,112.716,0.0,38.664,53.847,73.915,49.648,0.202,0.228,0.691,0.116
2024-01-01 05:45:00,5.75,0,0,1,-1.94,0.0,0.0,1.0,39.58,39.58,0.2157,0.5882,0.0,18.086,81.327,0.0,42.01,43.557,72.355,51.451,0.192,0.124,0.455,0.12
2024-01-01 06:00:00,6.0,0,0,1,-2.26,0.0,0.0,1.0,42.9,42.9,0.1867,0.6026,2.395,13.429,75.829,0.0,50.964,49.411,92.353,15.659,0.191,0.346,0.464,0.044
2024-01-01 06:15:00,6.25,0,0,1,-2.77,2.53,3.5,1.0,50.59,48.06,0.1903,0.6251,9.252,26.463,84.532,2.254,52.032,66.398,62.815,78.88,0.164,0.268,0.485,0.076
2024-01-01 06:30:00,6.5,0,0,1,-3.16,9.4,8.01,0.973,51.14,41.74,0.1601,0.5976,18.882,20.138,90.393,12.115,54.105,69.504,46.244,48.069,0.109,0.405,0.44,0.175
2024-01-01 06:45:00,6.75,0,0,1,-2.8,18.52,12.98,0.998,51.99,33.48,0.1146,0.5616,13.512,38.492,60.942,8.322,54.986,59.69,47.853,50.976,0.315,0.245,0.547,0.258
2024-01-01 07:00:00,7.0,0,0,1,-2.61,14.37,18.22,1.0,55.09,40.72,0.318,0.5931,23.893,41.282,101.157,20.572,56.909,62.917,57.33,39.046,0.224,0.645,0.398,0.213
2024-01-01 07:15:00,7.25,0,0,1,-2.38,24.89,23.62,1.0,56.59,31.7,0.2346,0.5538,22.99,45.483,124.882,8.879,59.146,67.452,53.254,58.511,0.261,0.473,0.634,-0.097
2024-01-01 07:30:00,7.5,0,0,1,-2.15,22.64,29.12,1.0,60.28,37.65,0.2851,0.5797,32.442,47.734,99.451,24.203,60.946,75.752,51.754,66.795,0.333,0.481,0.214,0.458
2024-01-01 07:45:00,7.75,0,0,1,-0.57,32.84,34.65,1.0,59.69,26.85,0.3033,0.5327,39.636,54.54,99.116,30.712,60.84,71.321,48.886,36.913,0.58,0.621,0.116,0.335
2024-01-01 08:00:00,8.0,0,0,1,-1.17,39.6,40.14,1.0,63.96,24.37,0.5751,0.5219,44.358,49.171,74.429,23.54,76.145,68.383,50.799,35.453,0.462,0.672,0.643,-0.127
2024-01-01 08:15:00,8.25,0,0,1,-1.77,46.38,45.55,1.0,73.81,27.43,0.4815,0.5352,52.573,75.862,112.522,23.627,74.471,65.769,59.043,79.392,0.516,0.609,0.338,0.226
2024-01-01 08:30:00,8.5,0,0,1,-2.54,52.95,50.84,1.0,74.92,21.97,0.5366,0.5115,60.737,80.54,72.157,50.391,69.49,67.818,38.6,33.635,0.537,0.536,0.399,0.926
2024-01-01 08:45:00,8.75,0,0,1,-2.07,60.34,55.95,1.0,71.31,10.97,0.5338,0.4637,55.538,81.87,50.822,67.061,68.106,60.83,54.588,66.01,0.619,0.572,0.077,0.684
2024-01-01 09:00:00,9.0,0,0,1,-1.21,55.48,60.85,1.0,67.84,12.36,0.5866,0.4697,66.282,103.07,82.25,74.861,66.203,66.243,46.786,66.889,0.607,0.484,0.418,1.37
2024-01-01 09:15:00,9.25,0,0,1,-1.41,68.3,65.49,1.0,67.25,-1.05,0.6185,0.4115,78.992,67.534,142.349,56.946,66.019,66.731,46.326,52.138,0.541,0.545,0.378,0.301
2024-01-01 09:30:00,9.5,0,0,1,-2.15,76.03,69.86,1.0,66.56,-9.47,0.5127,0.375,70.044,88.15,82.212,28.302,68.824,55.798,53.968,93.786,0.5,0.686,0.21,0.971
2024-01-01 09:45:00,9.75,0,0,1,-2.78,72.24,73.9,1.0,67.9,-4.33,0.537,0.3972,73.746,68.455,66.307,90.901,67.106,55.451,51.749,60.063,0.549,0.522,0.556,0.581
